GeneID,GSM6255915,GSM6255916,GSM6255917,GSM6255918,GSM6255919,GSM6255920,GSM6255924,GSM6255925,GSM6255926,GSM6255927,GSM6255928
100287102,0.4174,0.3095,0.2593,0.3478,0.2718,0.2919,0.1908,0.0396,0.07401,0.1744,0.1226
653635,57.59,28.22,30.11,28.67,35.61,24.39,36.79,20.86,25.71,27.43,29.64
102466751,25.35,20.15,27.89,26.75,20.59,12.69,20.39,11.54,23.01,21.18,11.92
107985730,4.485,3.193,1.479,2.67,4.173,2.736,2.636,1.338,1.318,2.19,1.657
100302278,3.634,5.038,1.774,2.775,3.828,2.575,2.284,1.185,1.417,2.277,2.349
645520,29.04,14.35,2.193,3.785,16.52,5.144,14.84,3.184,6.016,17.59,10.87
79501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03563,0.0,0.0,0.0
100996442,0.7236,0.6101,0.9064,0.9652,1.079,0.861,0.9402,0.6884,0.4946,0.519,1.25
729737,11.95,9.62,8.948,10.03,10.7,10.28,8.204,6.232,7.415,6.462,8.927
102725121,0.9556,0.5472,0.4569,0.5164,0.4766,0.6318,0.2942,0.1221,0.1369,0.277,0.07565
102723897,65.72,30.25,34.99,31.61,38.54,25.09,41.99,24.11,26.84,30.05,33.66
102465909,15.67,9.022,15.75,13.14,12.04,6.346,8.343,5.772,12.59,13.48,7.151
107985721,2.652,1.972,0.8027,1.663,2.596,2.036,1.479,0.8099,1.039,1.432,0.9134
112268260,0.04278,0.04963,0.03248,0.07262,0.0681,0.0462,0.09561,0.06946,0.07417,0.05163,0.1414
729759,0.0,0.0,0.03258,0.0,0.0,0.0,0.03356,0.0,0.0,0.0,0.0
100132287,11.47,10.62,11.05,11.87,11.26,10.71,7.666,7.208,9.227,8.341,8.521
105378947,0.0,0.0,0.01306,0.01362,0.0,0.0,0.04035,0.01396,0.07305,0.01118,0.0
101928626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113219467,1301.0,783.4,1112.0,643.8,664.0,601.0,1216.0,1014.0,568.2,967.7,1602.0
81399,0.03253,0.05661,0.05822,0.116,0.08682,0.07466,0.07634,0.03961,0.0423,0.05889,0.1332
100133331,7.503,6.743,7.446,8.09,7.807,7.152,5.259,4.937,6.472,5.944,5.908
107984841,3.79,4.792,4.064,6.825,5.904,5.564,4.425,4.027,3.538,3.789,5.339
107984847,9.499,15.81,14.32,24.94,18.13,15.91,10.4,8.16,9.68,8.854,21.97
107984849,5.149,9.422,6.665,12.77,11.13,10.06,7.767,4.322,5.764,4.769,11.87
100288069,3.406,3.759,4.307,5.494,4.989,4.406,4.322,3.793,2.943,2.979,4.197
105378580,0.3904,0.3423,0.5776,0.4721,0.5038,0.2816,0.4784,0.3374,0.276,0.3262,0.5284
400728,0.2096,0.3682,0.4249,0.3448,0.3668,0.2742,0.3242,0.1514,0.08805,0.202,0.2501
79854,1.333,1.335,1.556,0.9937,0.9626,0.9637,1.173,0.5216,0.9469,1.988,0.8615
643837,3.503,5.515,5.368,8.086,6.101,8.25,4.598,3.964,3.959,6.693,3.761
107984850,0.03831,0.08333,0.0748,0.05203,0.07534,0.06206,0.07706,0.0,0.01993,0.2134,0.08256
284593,0.07348,0.1199,0.0538,0.03742,0.07741,0.04464,0.05542,0.01917,0.02867,0.01535,0.0475
284600,2.721,4.023,2.696,3.458,3.197,2.375,3.554,2.357,2.459,3.909,1.943
100130417,15.59,8.202,13.61,9.241,8.471,4.837,10.88,5.821,5.309,8.172,12.51
107985728,8.415,5.553,4.548,5.673,4.23,3.488,5.515,4.243,1.831,3.641,6.335
148398,87.8,42.36,42.46,34.33,40.61,26.42,47.81,34.59,25.79,39.88,61.25
26155,38.13,31.35,31.4,28.7,31.07,28.8,26.89,24.46,37.2,28.44,24.96
339451,16.65,7.339,8.272,8.406,9.285,6.561,9.021,4.332,6.932,6.48,6.937
84069,0.0313,0.07659,0.1375,0.09563,0.07254,0.04436,0.07082,0.1307,0.1893,0.01961,0.08094
84808,0.0,0.05657,0.04232,0.05298,0.05114,0.03511,0.02615,0.02714,0.04735,0.02173,0.08967
57801,188.2,40.2,58.94,43.17,41.86,39.13,66.4,47.5,32.69,25.87,55.46
9636,6.199,2.857,6.484,4.009,4.271,2.869,7.125,5.905,4.645,1.315,5.661
375790,23.64,24.62,34.55,36.67,23.9,34.98,25.69,27.07,34.27,20.91,14.46
100288175,2.091,0.7349,1.194,1.114,0.9762,0.7818,1.294,1.276,1.18,0.8065,0.9569
112267874,0.5449,0.1059,0.2377,0.1771,0.127,0.08452,0.2215,0.1573,0.2533,0.06781,0.1199
105378948,1.224,0.3852,0.5972,0.5137,0.5246,0.5042,0.6476,0.5041,0.6197,0.5022,0.4163
401934,0.0,0.01076,0.0,0.0504,0.0,0.0,0.04976,0.0,0.06435,0.04134,0.0
54991,11.95,5.945,9.485,7.743,5.929,6.033,6.078,4.371,5.56,5.502,8.064
254099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2717,0.0,0.0
554210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100506376,0.0,0.0,0.0,0.007643,0.0,0.0,0.0,0.01567,0.005855,0.0,0.01941
254173,0.0,0.00476,0.007122,0.02972,0.0123,0.0,0.0,0.007614,0.005692,0.0,0.04716
8784,0.2679,0.2247,0.4109,0.1039,0.1612,0.2066,0.3335,0.3594,0.2289,0.1066,0.2639
7293,0.07683,0.005571,0.125,0.04347,0.03597,0.0,0.02576,0.01782,0.02664,0.03566,0.01104
51150,32.45,24.45,31.23,23.68,24.86,25.03,28.03,26.18,26.93,24.37,22.31
126792,16.96,14.52,19.61,15.42,14.42,13.83,13.74,11.89,11.84,14.4,8.104
388581,4.046,1.625,3.927,2.268,2.361,2.249,1.854,1.599,2.036,0.7001,2.167
118424,19.78,12.47,18.36,11.05,13.28,12.2,14.35,10.75,12.07,11.98,10.46
101928895,7.296,3.929,3.79,4.661,5.058,4.177,6.111,3.445,3.922,3.322,5.699
6339,15.22,5.417,7.583,6.804,7.204,6.117,9.391,5.173,5.372,5.059,8.691
116983,46.25,26.08,43.82,34.63,31.65,26.31,37.54,21.03,22.06,24.06,34.87
102465434,7.193,2.682,7.523,2.616,3.464,1.664,4.65,2.145,2.405,2.576,3.321
109623456,16.79,9.251,14.93,21.28,17.61,8.461,19.13,11.68,6.113,7.793,14.95
126789,11.7,7.792,8.884,6.149,7.127,8.916,8.348,7.922,16.99,6.12,7.146
54973,46.37,26.65,34.17,30.25,28.25,27.45,34.36,25.05,30.9,23.48,30.15
102465435,6.75,7.865,8.943,6.875,6.908,3.905,6.788,2.516,5.643,6.445,5.611
80772,8.131,7.7,8.984,6.413,7.73,8.205,6.705,5.744,6.907,8.507,5.53
83756,0.7298,0.9638,1.476,0.6017,0.8347,0.5841,1.101,0.5713,0.3525,0.7477,0.8313
1855,48.19,29.72,35.24,29.56,31.18,36.77,33.74,29.55,27.76,27.43,29.68
102466740,3.187,2.08,5.704,1.623,0.8953,0.4302,3.205,2.218,1.658,1.775,4.121
54587,18.33,10.93,16.73,14.33,10.55,11.87,17.61,14.43,15.25,11.13,12.18
54998,81.35,32.66,44.35,25.04,30.61,26.63,41.67,31.12,46.76,33.01,41.26
81669,87.02,41.13,65.81,54.19,51.02,36.51,61.67,26.83,34.49,35.28,63.23
148413,17.52,11.68,17.12,12.18,14.32,10.37,12.89,9.693,12.34,12.63,12.63
55052,32.06,22.8,39.29,19.43,21.66,18.0,29.44,19.78,28.22,23.23,25.24
107984868,0.5042,0.658,0.5477,0.7288,0.2947,0.3754,0.4988,0.331,0.2474,1.23,0.389
441869,2.355,1.255,4.159,3.354,1.676,2.219,2.699,3.065,1.691,1.184,3.106
