GeneID,GSM4459880,GSM4459881,GSM4459882,GSM4459885,GSM4459886,GSM4459887
100287102,0.2418,0.2627,0.2188,0.1277,0.1256,0.1077
653635,24.3,23.62,27.46,22.89,28.36,23.6
102466751,9.984,16.46,17.2,13.44,13.73,10.99
107985730,2.524,2.293,2.252,1.656,1.967,2.083
100302278,1.592,1.159,0.9243,1.019,0.7516,1.289
645520,40.91,31.78,27.05,17.36,28.69,17.52
79501,0,0,0,0,0,0
100996442,0.5672,0.5414,0.556,0.4886,0.4027,0.3707
729737,8.704,7.161,8.21,6.441,7.375,5.752
102725121,0.4349,0.398,0.5027,0.08752,0.09037,0.05535
102723897,29.62,28.12,30.29,26.48,30.82,26.8
102465909,5.286,5.711,7.191,5.171,7.627,5.755
107985721,1.24,1.013,1.21,1.118,1.104,1.091
112268260,0.03937,0.06583,0.06449,0.09956,0.1038,0.1052
729759,0,0.02433,0,0,0,0.03789
100132287,6.347,6.931,6.996,4.463,4.576,3.834
105378947,0.02557,0.0195,0.07259,0.07004,0.07969,0.0987
101928626,0,0,0,0,0,0
113219467,885.7,981,1159,1256,888,775.9
81399,0.03455,0.01976,0.02942,0.02028,0.02871,0.02462
100133331,5.061,5.196,5.557,3.95,4.049,3.359
107984841,4.183,3.33,4.041,2.886,2.912,2.709
107984847,17.37,15.07,14.9,15.08,14.33,11.52
107984849,4.707,4.161,4.1,3.349,3.112,2.287
100288069,2.738,2.149,2.528,2.103,1.831,1.778
105378580,0.2332,0.1867,0.2814,0.1597,0.21,0.2077
400728,0.3184,0.2938,0.4484,0.3135,0.2668,0.2654
79854,1.167,1.162,1.259,1.424,1.748,1.108
643837,4.905,6.742,4.642,4.512,4.116,4.697
107984850,0.08137,0.121,0.1386,0.04776,0.1099,0.1232
284593,0.07023,0.06695,0.07477,0.02748,0.01216,0.08341
284600,1.781,2.161,3.24,3.609,3.033,3.251
100130417,3.832,5.309,6,6.615,4.959,5.61
107985728,2.574,3.308,3.913,3.054,3.044,2.893
148398,41.47,49.97,43.77,42.03,49.45,39.69
26155,43.12,51.73,46.78,40.26,40.51,38.85
339451,6.685,7.04,7.564,6.209,7.521,7.252
84069,0.01496,0.02281,0.0637,0.02341,0.05698,0.04886
84808,0.01105,0.01264,0.05881,0.01945,0.03443,0.05905
57801,34.88,35.36,31.99,26.73,35.49,34.76
9636,2.382,3.55,4.706,4.195,4.071,3.798
375790,12.72,14.64,18.44,27.18,18.45,23.12
100288175,0.3895,0.3518,0.3929,0.4573,0.4473,0.3287
112267874,0.07388,0.1099,0.06292,0.1127,0.1305,0.05923
105378948,0.3009,0.2347,0.2767,0.4014,0.3268,0.3472
401934,0.1156,0.06011,0.06714,0.03701,0,0.04681
54991,5.165,5.232,5.831,5.195,5.843,5.054
254099,0,0.0141,0.01312,0,0,0
406984,0,0,0,0,0,0
406983,0,0,0,0,0,0
554210,0,0,0,0,0,0
100506376,0,0,0.01018,0.005613,0,0.00426
254173,0.004648,0.005317,0.01485,0.01637,0.004829,0.004141
8784,0.05689,0.1209,0.07787,0.1431,0.0591,0.07964
7293,0.02176,0.04356,0.05791,0.01277,0.0226,0.01938
51150,27.94,34.53,30.2,30.15,29.55,27.87
126792,14.06,17.31,15.74,15.11,15.51,15.89
388581,0.8085,0.89,1.397,1.361,0.9826,0.9512
118424,12.41,15.76,12.92,12.81,13.91,13.29
101928895,3.274,3.554,3.613,2.609,2.694,2.81
6339,4.538,5.46,5.27,4.744,4.517,4.45
116983,22.45,28.63,24.7,23.25,24.5,24.19
102465434,0.9821,2.247,0.697,2.306,1.02,1.166
109623456,13.79,14.41,12.4,13.4,12.6,14.82
126789,11.6,12.65,11.62,10.59,11.05,10.07
