degree.layout,displayName,gene_group,mean_dif_exp,name,selected,shared name,type
1,,2,-1.710192301,entrez.5121,FALSE,entrez.5121,Gene
3,,1,1.748282402,entrez.1063,FALSE,entrez.1063,Gene
1,,1,1.712202988,entrez.24137,FALSE,entrez.24137,Gene
3,,1,1.812154627,entrez.259266,FALSE,entrez.259266,Gene
1,,1,1.861256898,entrez.57082,FALSE,entrez.57082,Gene
2,,2,-1.872828789,entrez.7163,FALSE,entrez.7163,Gene
2,,1,1.711935498,entrez.2305,FALSE,entrez.2305,Gene
13,,1,1.000392336,entrez.4609,FALSE,entrez.4609,Gene
4,,1,1.772929393,entrez.10112,FALSE,entrez.10112,Gene
1,,1,1.745265623,entrez.3832,FALSE,entrez.3832,Gene
3,,1,1.702603629,entrez.3833,FALSE,entrez.3833,Gene
1,,2,-1.787814316,entrez.5470,FALSE,entrez.5470,Gene
3,,1,1.740120367,entrez.7153,FALSE,entrez.7153,Gene
2,,2,-1.78497344,entrez.8787,FALSE,entrez.8787,Gene
3,,1,1.715385763,entrez.4288,FALSE,entrez.4288,Gene
3,,2,-1.642641984,entrez.9094,FALSE,entrez.9094,Gene
2,,2,-1.67486073,entrez.3150,FALSE,entrez.3150,Gene
2,,1,1.740264376,entrez.6382,FALSE,entrez.6382,Gene
2,,2,-1.910299257,entrez.2779,FALSE,entrez.2779,Gene
1,,2,-1.809353319,entrez.760,FALSE,entrez.760,Gene
1,,2,-1.63735567,entrez.388531,FALSE,entrez.388531,Gene
6,,2,-0.15993343,entrez.4137,FALSE,entrez.4137,Gene
1,,1,1.720765811,entrez.9824,FALSE,entrez.9824,Gene
1,,1,1.763545761,entrez.51512,FALSE,entrez.51512,Gene
2,,2,-1.869503766,entrez.6616,FALSE,entrez.6616,Gene
