displayName,gene_group,mean_dif_exp,name,selected,shared name,type
,2,-1.843813409,entrez.5351,FALSE,entrez.5351,Gene
,1,1.933914268,entrez.6231,FALSE,entrez.6231,Gene
,2,-1.964960316,entrez.7045,FALSE,entrez.7045,Gene
,2,-1.981831172,entrez.7157,FALSE,entrez.7157,Gene
,1,1.919236222,entrez.8895,FALSE,entrez.8895,Gene
,1,1.96305427,entrez.79050,FALSE,entrez.79050,Gene
,2,-1.960736483,entrez.145270,FALSE,entrez.145270,Gene
,2,-1.963978559,entrez.80724,FALSE,entrez.80724,Gene
,2,-1.981089574,entrez.7051,FALSE,entrez.7051,Gene
,2,-1.96307491,entrez.3481,FALSE,entrez.3481,Gene
,2,-1.973944029,entrez.6041,FALSE,entrez.6041,Gene
,2,-1.983244652,entrez.1643,FALSE,entrez.1643,Gene
,2,-1.943725176,entrez.1026,FALSE,entrez.1026,Gene
,2,-1.890618103,entrez.1277,FALSE,entrez.1277,Gene
,1,1.89010646,entrez.6118,FALSE,entrez.6118,Gene
,2,-1.975521348,entrez.3635,FALSE,entrez.3635,Gene
,1,1.966266964,entrez.253725,FALSE,entrez.253725,Gene
