"displayName","drugGroups","name","rank","score","selected","shared name","type"
"CDKN1A",,"entrez.1026",,,"true","entrez.1026","Gene"
"DDB2",,"entrez.1643",,,"true","entrez.1643","Gene"
"BARD1",,"entrez.580",,,"true","entrez.580","Gene"
,,"entrez.100271927",,,"true","entrez.100271927","Gene"
,,"entrez.440730",,,"true","entrez.440730","Gene"
,,"entrez.57159",,,"true","entrez.57159","Gene"
"CPNE3",,"entrez.8895",,,"true","entrez.8895","Gene"
"RPS26",,"entrez.6231",,,"true","entrez.6231","Gene"
,,"entrez.79050",,,"true","entrez.79050","Gene"
"INPP5D",,"entrez.3635",,,"true","entrez.3635","Gene"
"H2BC5",,"entrez.3017",,,"true","entrez.3017","Gene"
"DRC4",,"entrez.2622",,,"true","entrez.2622","Gene"
,,"entrez.253725",,,"true","entrez.253725","Gene"
"HOXB5",,"entrez.3215",,,"true","entrez.3215","Gene"
,,"entrez.408050",,,"true","entrez.408050","Gene"
"PDE4DIP",,"entrez.9659",,,"true","entrez.9659","Gene"
"IFITM3",,"entrez.10410",,,"true","entrez.10410","Gene"
"TGM1",,"entrez.7051",,,"true","entrez.7051","Gene"
"RASA4",,"entrez.10156",,,"true","entrez.10156","Gene"
"TYMS",,"entrez.7298",,,"true","entrez.7298","Gene"
,,"entrez.83891",,,"true","entrez.83891","Gene"
,,"entrez.145270",,,"true","entrez.145270","Gene"
"TP53",,"entrez.7157",,,"true","entrez.7157","Gene"
,,"entrez.80724",,,"true","entrez.80724","Gene"
"RNASEL",,"entrez.6041",,,"true","entrez.6041","Gene"
"Acetylsalicylic acid","approved, vet_approved","drugbank.DB00945","4","0.4411764705882353","false","drugbank.DB00945","Drug"
"Copper","approved, investigational","drugbank.DB09130","3","0.44554455445544555","false","drugbank.DB09130","Drug"
"Tegafur","approved, investigational","drugbank.DB09256","9","0.36","false","drugbank.DB09256","Drug"
"Fluorouracil","approved","drugbank.DB00544","9","0.36","false","drugbank.DB00544","Drug"
"Valproic acid","approved, investigational","drugbank.DB00313","7","0.391304347826087","false","drugbank.DB00313","Drug"
"Pemetrexed","approved, investigational","drugbank.DB00642","8","0.36585365853658536","false","drugbank.DB00642","Drug"
"Folic acid","approved, nutraceutical, vet_approved","drugbank.DB00158","9","0.36","false","drugbank.DB00158","Drug"
"Trifluridine","approved, investigational","drugbank.DB00432","9","0.36","false","drugbank.DB00432","Drug"
"Tegafur-uracil","approved, investigational","drugbank.DB09327","9","0.36","false","drugbank.DB09327","Drug"
"Arsenic trioxide","approved, investigational","drugbank.DB01169","5","0.4205607476635514","false","drugbank.DB01169","Drug"
"Floxuridine","approved","drugbank.DB00322","9","0.36","false","drugbank.DB00322","Drug"
"Methotrexate","approved","drugbank.DB00563","8","0.36585365853658536","false","drugbank.DB00563","Drug"
"Leucovorin","approved","drugbank.DB00650","9","0.36","false","drugbank.DB00650","Drug"
"Gemcitabine","approved","drugbank.DB00441","8","0.36585365853658536","false","drugbank.DB00441","Drug"
"Capecitabine","approved, investigational","drugbank.DB01101","9","0.36","false","drugbank.DB01101","Drug"
"Zinc","approved, investigational","drugbank.DB01593","2","0.45","false","drugbank.DB01593","Drug"
"Raltitrexed","approved, investigational","drugbank.DB00293","9","0.36","false","drugbank.DB00293","Drug"
"Pralatrexate","approved, investigational","drugbank.DB06813","9","0.36","false","drugbank.DB06813","Drug"
"Phenolphthalein","approved, withdrawn","drugbank.DB04824","6","0.39473684210526316","false","drugbank.DB04824","Drug"
,"","drugbank.DB14548","3","0.44554455445544555","false","drugbank.DB14548","Drug"
,"","drugbank.DB14533","1","0.45918367346938777","false","drugbank.DB14533","Drug"
"Levomefolic acid","approved, investigational","drugbank.DB11256","9","0.36","false","drugbank.DB11256","Drug"
,"","drugbank.DB14487","2","0.45","false","drugbank.DB14487","Drug"
