"displayName","drugGroups","name","primary_seed","rank","score","selected","shared name","type"
"CLN3",,"entrez.1201","true",,,"true","entrez.1201","Gene"
"CLN5",,"entrez.1203",,,,"false","entrez.1203","Gene"
"ADAM9",,"entrez.8754","true",,,"true","entrez.8754","Gene"
"CILK1",,"entrez.22858",,,,"false","entrez.22858","Gene"
,,"entrez.145226","true",,,"true","entrez.145226","Gene"
,,"entrez.92840","true",,,"true","entrez.92840","Gene"
,,"entrez.128338","true",,,"true","entrez.128338","Gene"
,,"entrez.64802","true",,,"true","entrez.64802","Gene"
"CFAP410",,"entrez.755","true",,,"true","entrez.755","Gene"
,,"entrez.253827",,,,"false","entrez.253827","Gene"
,,"entrez.132160",,,,"false","entrez.132160","Gene"
,,"entrez.57709","true",,,"true","entrez.57709","Gene"
"TNFSF10",,"entrez.8743",,,,"false","entrez.8743","Gene"
"NRM",,"entrez.11270",,,,"false","entrez.11270","Gene"
"IMPDH1",,"entrez.3614","true",,,"true","entrez.3614","Gene"
"ARL3",,"entrez.403","true",,,"true","entrez.403","Gene"
"CCK",,"entrez.885",,,,"false","entrez.885","Gene"
"CA4",,"entrez.762","true",,,"true","entrez.762","Gene"
,,"entrez.84787",,,,"false","entrez.84787","Gene"
"ARR3",,"entrez.407",,,,"false","entrez.407","Gene"
"PDE6G",,"entrez.5148","true",,,"true","entrez.5148","Gene"
"RIMS1",,"entrez.22999","true",,,"true","entrez.22999","Gene"
"PDE6D",,"entrez.5147",,,,"false","entrez.5147","Gene"
"POLR3D",,"entrez.661",,,,"false","entrez.661","Gene"
"RBP3",,"entrez.5949","true",,,"true","entrez.5949","Gene"
,,"entrez.196483",,,,"false","entrez.196483","Gene"
"CACNA1F",,"entrez.778","true",,,"true","entrez.778","Gene"
"SLC24A1",,"entrez.9187",,,,"false","entrez.9187","Gene"
"CACNA1C",,"entrez.775",,,,"false","entrez.775","Gene"
"IFT140",,"entrez.9742","true",,,"true","entrez.9742","Gene"
,,"entrez.130557","true",,,"true","entrez.130557","Gene"
"PDE6A",,"entrez.5145","true",,,"true","entrez.5145","Gene"
,,"entrez.28982","true",,,"true","entrez.28982","Gene"
"PRPF6",,"entrez.24148","true",,,"true","entrez.24148","Gene"
,,"entrez.112752","true",,,"true","entrez.112752","Gene"
"RPGR",,"entrez.6103","true",,,"true","entrez.6103","Gene"
,,"entrez.203102",,,,"false","entrez.203102","Gene"
,,"entrez.345275",,,,"false","entrez.345275","Gene"
"BEST1",,"entrez.7439","true",,,"true","entrez.7439","Gene"
"RBM3",,"entrez.5935",,,,"false","entrez.5935","Gene"
,,"entrez.346007","true",,,"true","entrez.346007","Gene"
,,"entrez.79188",,,,"false","entrez.79188","Gene"
"RP2",,"entrez.6102","true",,,"true","entrez.6102","Gene"
"RP1",,"entrez.6101","true",,,"true","entrez.6101","Gene"
,,"entrez.285440","true",,,"true","entrez.285440","Gene"
"RP9",,"entrez.6100","true",,,"true","entrez.6100","Gene"
"PPM1A",,"entrez.5494",,,,"false","entrez.5494","Gene"
,,"entrez.54806","true",,,"true","entrez.54806","Gene"
"MAK",,"entrez.4117","true",,,"true","entrez.4117","Gene"
"SOX2",,"entrez.6657","true",,,"true","entrez.6657","Gene"
"AIPL1",,"entrez.23746","true",,,"true","entrez.23746","Gene"
"PRPF4",,"entrez.9128","true",,,"true","entrez.9128","Gene"
"PRPF3",,"entrez.9129","true",,,"true","entrez.9129","Gene"
,,"entrez.55211",,,,"false","entrez.55211","Gene"
"GUCA1B",,"entrez.2979","true",,,"true","entrez.2979","Gene"
"CRX",,"entrez.1406","true",,,"true","entrez.1406","Gene"
"ROM1",,"entrez.6094","true",,,"true","entrez.6094","Gene"
"IRX5",,"entrez.10265","true",,,"true","entrez.10265","Gene"
"RAB28",,"entrez.9364","true",,,"true","entrez.9364","Gene"
,,"entrez.158866",,,,"false","entrez.158866","Gene"
,,"entrez.84219",,,,"false","entrez.84219","Gene"
,,"entrez.157657","true",,,"true","entrez.157657","Gene"
"FAM114A2",,"entrez.10827",,,,"false","entrez.10827","Gene"
,,"entrez.53826",,,,"false","entrez.53826","Gene"
"SLC4A1",,"entrez.6521",,,,"false","entrez.6521","Gene"
,,"entrez.64283",,,,"false","entrez.64283","Gene"
,,"entrez.79797","true",,,"true","entrez.79797","Gene"
"B3GALT4",,"entrez.8705",,,,"false","entrez.8705","Gene"
"NRL",,"entrez.4901","true",,,"true","entrez.4901","Gene"
"ATE1",,"entrez.11101",,,,"false","entrez.11101","Gene"
,,"entrez.84100","true",,,"true","entrez.84100","Gene"
"COL11A1",,"entrez.1301","true",,,"true","entrez.1301","Gene"
"KPNA5",,"entrez.3841",,,,"false","entrez.3841","Gene"
,,"entrez.81606",,,,"false","entrez.81606","Gene"
"SPARC",,"entrez.6678",,,,"false","entrez.6678","Gene"
,,"entrez.136051",,,,"false","entrez.136051","Gene"
,,"entrez.768206","true",,,"true","entrez.768206","Gene"
"CLRN1",,"entrez.7401","true",,,"true","entrez.7401","Gene"
"BBS2",,"entrez.583","true",,,"true","entrez.583","Gene"
"BBS1",,"entrez.582","true",,,"true","entrez.582","Gene"
"NAALADL1",,"entrez.10004","true",,,"true","entrez.10004","Gene"
"PDAP1",,"entrez.11333","true",,,"true","entrez.11333","Gene"
"NR2E3",,"entrez.10002","true",,,"true","entrez.10002","Gene"
,,"entrez.29990",,,,"false","entrez.29990","Gene"
,,"entrez.283459",,,,"false","entrez.283459","Gene"
"TTLL5",,"entrez.23093","true",,,"true","entrez.23093","Gene"
"NEMF",,"entrez.9147",,,,"false","entrez.9147","Gene"
"PRPF31",,"entrez.26121","true",,,"true","entrez.26121","Gene"
"RAB26",,"entrez.25837",,,,"false","entrez.25837","Gene"
"PROM1",,"entrez.8842","true",,,"true","entrez.8842","Gene"
"GBA1",,"entrez.2629",,,,"false","entrez.2629","Gene"
"CRB1",,"entrez.23418","true",,,"true","entrez.23418","Gene"
,,"entrez.282809","true",,,"true","entrez.282809","Gene"
"NRXN1",,"entrez.9378",,,,"false","entrez.9378","Gene"
,,"entrez.57096","true",,,"true","entrez.57096","Gene"
"SYT1",,"entrez.6857",,,,"false","entrez.6857","Gene"
,,"entrez.375298","true",,,"true","entrez.375298","Gene"
,,"entrez.84140","true",,,"true","entrez.84140","Gene"
,,"entrez.55812","true",,,"true","entrez.55812","Gene"
,,"entrez.57677",,,,"false","entrez.57677","Gene"
"PRPF8",,"entrez.10594","true",,,"true","entrez.10594","Gene"
"HMGN4",,"entrez.10473",,,,"false","entrez.10473","Gene"
"HOXC13",,"entrez.3229",,,,"false","entrez.3229","Gene"
,,"entrez.84255","true",,,"true","entrez.84255","Gene"
,,"entrez.135946",,,,"false","entrez.135946","Gene"
,,"entrez.399823","true",,,"true","entrez.399823","Gene"
,,"entrez.79594",,,,"false","entrez.79594","Gene"
"UNC50",,"entrez.25972",,,,"false","entrez.25972","Gene"
,,"entrez.154467",,,,"false","entrez.154467","Gene"
"SAG",,"entrez.6295","true",,,"true","entrez.6295","Gene"
,,"entrez.84932",,,,"false","entrez.84932","Gene"
,,"entrez.388939","true",,,"true","entrez.388939","Gene"
"CELSR3",,"entrez.1951",,,,"false","entrez.1951","Gene"
"RGR",,"entrez.5995","true",,,"true","entrez.5995","Gene"
,,"entrez.54957",,,,"false","entrez.54957","Gene"
,,"entrez.51209",,,,"false","entrez.51209","Gene"
"PUDP",,"entrez.8226",,,,"false","entrez.8226","Gene"
,,"entrez.54953",,,,"false","entrez.54953","Gene"
"MERTK",,"entrez.10461","true",,,"true","entrez.10461","Gene"
,,"entrez.92312",,,,"false","entrez.92312","Gene"
"TOPORS",,"entrez.10210","true",,,"true","entrez.10210","Gene"
"XBP1",,"entrez.7494",,,,"false","entrez.7494","Gene"
"IFT88",,"entrez.8100","true",,,"true","entrez.8100","Gene"
,,"entrez.57670","true",,,"true","entrez.57670","Gene"
"ARL2BP",,"entrez.23568","true",,,"true","entrez.23568","Gene"
,,"entrez.221960","true",,,"true","entrez.221960","Gene"
"LRAT",,"entrez.9227","true",,,"true","entrez.9227","Gene"
,,"entrez.54622",,,,"false","entrez.54622","Gene"
,,"entrez.123016","true",,,"true","entrez.123016","Gene"
,,"entrez.60509","true",,,"true","entrez.60509","Gene"
"TULP1",,"entrez.7287","true",,,"true","entrez.7287","Gene"
"IFT172",,"entrez.26160","true",,,"true","entrez.26160","Gene"
"GUCY2D",,"entrez.3000","true",,,"true","entrez.3000","Gene"
,,"entrez.64782",,,,"false","entrez.64782","Gene"
"TCEAL1",,"entrez.9338",,,,"false","entrez.9338","Gene"
"ATF6",,"entrez.22926","true",,,"true","entrez.22926","Gene"
"LAMP1",,"entrez.3916",,,,"false","entrez.3916","Gene"
