displayName,drugGroups,name,primary_seed,rank,score,selected,shared name,type
CLN3,,entrez.1201,TRUE,,,TRUE,entrez.1201,Gene
,,entrez.93010,,,,FALSE,entrez.93010,Gene
CILK1,,entrez.22858,,,,FALSE,entrez.22858,Gene
ADAM9,,entrez.8754,TRUE,,,TRUE,entrez.8754,Gene
,,entrez.55776,,,,FALSE,entrez.55776,Gene
,,entrez.145226,TRUE,,,TRUE,entrez.145226,Gene
,,entrez.92840,TRUE,,,TRUE,entrez.92840,Gene
,,entrez.51299,,,,FALSE,entrez.51299,Gene
,,entrez.128338,TRUE,,,TRUE,entrez.128338,Gene
,,entrez.64802,TRUE,,,TRUE,entrez.64802,Gene
,,entrez.83442,,,,FALSE,entrez.83442,Gene
CFAP410,,entrez.755,TRUE,,,TRUE,entrez.755,Gene
ATP5MC3,,entrez.518,,,,FALSE,entrez.518,Gene
,,entrez.253827,,,,FALSE,entrez.253827,Gene
,,entrez.132160,,,,FALSE,entrez.132160,Gene
,,entrez.57709,TRUE,,,TRUE,entrez.57709,Gene
TNFSF10,,entrez.8743,,,,FALSE,entrez.8743,Gene
MYH15,,entrez.22989,,,,FALSE,entrez.22989,Gene
NRM,,entrez.11270,,,,FALSE,entrez.11270,Gene
IMPDH1,,entrez.3614,TRUE,,,TRUE,entrez.3614,Gene
ARL3,,entrez.403,TRUE,,,TRUE,entrez.403,Gene
CCK,,entrez.885,,,,FALSE,entrez.885,Gene
CA4,,entrez.762,TRUE,,,TRUE,entrez.762,Gene
WWC1,,entrez.23286,,,,FALSE,entrez.23286,Gene
,,entrez.84787,,,,FALSE,entrez.84787,Gene
PDE6G,,entrez.5148,TRUE,,,TRUE,entrez.5148,Gene
PDE6D,,entrez.5147,,,,FALSE,entrez.5147,Gene
RIMS1,,entrez.22999,TRUE,,,TRUE,entrez.22999,Gene
POLR3D,,entrez.661,,,,FALSE,entrez.661,Gene
RBP3,,entrez.5949,TRUE,,,TRUE,entrez.5949,Gene
,,entrez.196483,,,,FALSE,entrez.196483,Gene
CACNA1F,,entrez.778,TRUE,,,TRUE,entrez.778,Gene
IFT140,,entrez.9742,TRUE,,,TRUE,entrez.9742,Gene
EEA1,,entrez.8411,,,,FALSE,entrez.8411,Gene
,,entrez.130557,TRUE,,,TRUE,entrez.130557,Gene
PDE6A,,entrez.5145,TRUE,,,TRUE,entrez.5145,Gene
,,entrez.119710,,,,FALSE,entrez.119710,Gene
,,entrez.28982,TRUE,,,TRUE,entrez.28982,Gene
PRPF6,,entrez.24148,TRUE,,,TRUE,entrez.24148,Gene
,,entrez.112752,TRUE,,,TRUE,entrez.112752,Gene
RPGR,,entrez.6103,TRUE,,,TRUE,entrez.6103,Gene
,,entrez.345275,,,,FALSE,entrez.345275,Gene
,,entrez.203102,,,,FALSE,entrez.203102,Gene
BEST1,,entrez.7439,TRUE,,,TRUE,entrez.7439,Gene
,,entrez.93589,TRUE,,,TRUE,entrez.93589,Gene
CYP4F2,,entrez.8529,,,,FALSE,entrez.8529,Gene
,,entrez.346007,TRUE,,,TRUE,entrez.346007,Gene
,,entrez.79188,,,,FALSE,entrez.79188,Gene
RP2,,entrez.6102,TRUE,,,TRUE,entrez.6102,Gene
RP1,,entrez.6101,TRUE,,,TRUE,entrez.6101,Gene
,,entrez.285440,TRUE,,,TRUE,entrez.285440,Gene
RP9,,entrez.6100,TRUE,,,TRUE,entrez.6100,Gene
